Name,Details,Location,Image_URL,Tag
สวนสนุกดรีมเวิลด์,"คงไม่มีใครไม่รู้จัก สวนสนุกดรีมเวิลด์ สวนสนุกใกล้กรุงเทพฯ ย่านคลอง 3 โลกแห่งความสุขสนุกได้ทั้งครอบครัว สนุกสนานไปกับเครื่องเล่นนานาชนิด อาทิ ทอร์นาโด, ไวกิ้งส์, เฮอริเคน, สกายโคสเจอร์, แกรนด์แคนยอน, ซูเปอร์สแปลช, รถบั๊ม, ปราสาทผีสิง, เคเบิ้ลคาร์ เป็นต้น สัมผัสบรรยากาศหิมะที่เมืองหิมะ ตื่นตาตื่นใจไปกับ 4D แอดเวนเจอร์, ฮอลีวู้ด แอคชั่น และเอเลี่ยน เด็กๆ ไม่ต้องห่วง เพราะที่นี่เค้ามีเครื่องเล่นสำหรับเด็กบริการ ไม่ว่าจะเป็นปลาบิน หนูลมกรด เรืออินเดียนแดง รถด่วนอวกาศ และอีกมากมาย ภายในมีจุดถ่ายรูปเยอะมาก สามารถแวะได้ตลอดทาง อีกทั้งยังมีร้านค้า ร้านอาหาร และร้านจำหน่ายของที่ระลึกคอยให้บริการ ทำให้สามารถสนุกสนานอยู่ที่นี่ได้ทั้งวันเลยล่ะ",เลขที่ 62 หมู่ 1 ถนนรังสิต-นครนายก ต.บึงยี่โถ อ.ธัญบุรี จ.ปทุมธานี 12130,https://mpics.mgronline.com/pics/Images/564000012214701.JPEG,สถานที่ท่องเที่ยว
ณ ปทุม คาเฟ่,"คาเฟ่กลางทุ่งนาที่โอบล้อมด้วยต้นตาล ให้ฟีลธรรมชาติสุด ๆ กับ ณ ปทุม คาเฟ่ การตกแต่งแบบเรียบง่ายสไตล์กระท่อมปลายนา มีทางเดินสะพานไม้ไผ่ทอดยาวให้สามารถเดินชมวิว ถ่ายรูปเล่นได้อย่างทั่วถึง ทางด้านที่นั่งที่นี่มีบริการทั้งแบบ Indoor นั่งตากแอร์เย็น ๆ และ Outdoor นั่งรับลมริมทุ่งนาเพลิน ๆ ส่วนทางด้านอาหารก็มีให้เลือกทานทั้งอาหารจานหลัก, เบเกอรี่ และ เครื่องดื่ม ที่ราคาเป็นมิตรสุด ๆ ว่ากันว่าอาหารใต้ของที่นี่อร่อยมาก และไฮไลต์ที่ทำให้คนเยอะในทุกวันหยุด คือ รถไฟจิ๊ว ที่จะพาคุณชมวิวบรรยากาศทุ่งนาที่เบื้องหลังเต็มไปด้วยดงต้นตาลที่สวยงามมาก นั่งกันไปชิลล์ๆ เพลิน ๆ เลยล่ะ รถไฟขบวนนี้สามารถนั่งได้ทั้งเด็กและผู้ใหญ่เลยด้วยนะ ครีเอทสุด ๆ นักท่องเที่ยวต่างให้ความสนใจแห่กันมาเพื่อที่จะนั่งรถไฟจิ๊วกันจำนวนมาก วันหยุดนี่ถึงขั้นต้องต่อแถวรอกันเลยทีเดียว แต่ก็ไม่ต้องกลัวเบื่อ เพราะที่นี่มีมุมถ่ายรูปมากมาย เดินถ่ายเล่น ฆ่าเวลารอคิวรถไฟได้สบายเลย แอบบอกอีกอย่างว่า ที่นี่เป็นอีกสถานที่ที่ชมพระอาทิตย์ตกวิวต้นตาลสวยมากเลยนะ",เลขที่ 99/10 ถนน.347 ทางคู่ขนาน ต.บ้านกลาง อ.เมืองปทุมธานี จ.ปทุมธานี 12000,https://s.isanook.com/tr/0/ui/287/1436109/326387579_852383812485880_6777828871055324190_n.jpg,คาเฟ่
วัดโบสถ์,วัดโบสถ์ เดิมใช้ชื่อว่า วัดสร้อยนางหงษ์ เป็นวัดโบราณตั้งแต่สมัยกรุงศรีอยุธยา มีขนาดใหญ่อันดับต้น ๆ ของจังหวัด ตั้งอยู่ริมแม่น้ำเจ้าพระยา สร้างโดยชาวมอญที่อพยพมาจากเมืองหงสาวดีประเทศพม่า พระพุทธรูปองค์สำคัญของวัด คือ หลวงพ่อเหลือ พระพุทธรูปปางมารวิชัยสร้างด้วยศิลาทราย ซึ่งเป็นพระพุทธรูปเพียงองค์เดียวที่ยังคงเหลืออยู่อย่างสมบูรณ์ จากเหตุการณ์โจรลักลอบตัดเศียรพระ ในปี พ.ศ.2507 จึงได้รับการนับถือเป็นพระคู่บ้านคู่เมืองของชาวปทุมธานีนับแต่นั้นมา โดดเด่นไปด้วยพระพุทธรูปองค์ใหญ่ตระการตา อย่าง “หลวงพ่อโต พรหมรังสี” ความสูง 28 เมตร ปางค์เทศนาธรรมองค์ใหญ่ที่สุดในไทย จนเรียกกันติดปากว่า “วัดหลวงพ่อโตองค์ใหญ่” และ “หลวงพ่อโสธรองค์ใหญ่” ที่ผู้คนให้ความสนใจและเข้ามากราบสักการะกันเป็นจำนวนมาก นอกจากนี้บริเวณวัดฝั่งริมแม่น้ำนอกจากจะเป็นที่ให้อาหารปลาขนาดใหญ่แล้ว ยังเป็นที่ตั้งของตลาดวิถีชีวิตริมแม่น้ำเจ้าพระยาของชาวบ้านในพื้นที่อีกด้วย มีของกินทั้งคาวและหวานมากมายที่พร้อมให้ทุกท่านได้เข้ามาเลือกชอป เรียกว่าอิ่มทั้งบุญอิ่มทั้งท้อง ครบจบในที่เดียวเลยล่ะ,เลขที่ 15 หมู่ 1 บ้านท้ายดง ถนน.กาญจนาภิเษก ต.บางกระบือ อ.สามโคก จ.ปทุมธานี 12160,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/%E0%B9%80%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A7_%E0%B8%A7%E0%B8%B1%E0%B8%94%E0%B9%82%E0%B8%9A%E0%B8%AA%E0%B8%96%E0%B9%8C_%E0%B8%AB%E0%B8%A5%E0%B8%A7%E0%B8%87%E0%B8%9E%E0%B9%88%E0%B8%AD%E0%B9%82%E0%B8%95%E0%B8%AD%E0%B8%87%E0%B8%84%E0%B9%8C%E0%B9%83%E0%B8%AB%E0%B8%8D%E0%B9%88_%E0%B8%88.%E0%B8%9B%E0%B8%97%E0%B8%B8%E0%B8%A1%E0%B8%98%E0%B8%B2%E0%B8%99%E0%B8%B5.jpg/1024px-%E0%B9%80%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A7_%E0%B8%A7%E0%B8%B1%E0%B8%94%E0%B9%82%E0%B8%9A%E0%B8%AA%E0%B8%96%E0%B9%8C_%E0%B8%AB%E0%B8%A5%E0%B8%A7%E0%B8%87%E0%B8%9E%E0%B9%88%E0%B8%AD%E0%B9%82%E0%B8%95%E0%B8%AD%E0%B8%87%E0%B8%84%E0%B9%8C%E0%B9%83%E0%B8%AB%E0%B8%8D%E0%B9%88_%E0%B8%88.%E0%B8%9B%E0%B8%97%E0%B8%B8%E0%B8%A1%E0%B8%98%E0%B8%B2%E0%B8%99%E0%B8%B5.jpg,วัด
ดงตาลสามโคก,สัมผัสวิถีชนบท ท่ามกลางทุ่งนาผืนใหญ่ ที่ดงตาลสามโคก แหล่งท่องเที่ยวทางธรรมชาติในอำเภอสามโคก ถือเป็นจุดวิวที่มีความสวยงามมาก ภาพที่เห็นเบื้องหน้าคือ ทุ่งนาสีเขียวขจี ต้นตาลสูงเรียงราย บวกกับท้องฟ้า แนะนำให้มาถ่ายรูปช่วงเช้า พระอาทิตย์ขึ้น หรือช่วงเย็น พระอาทิตย์ตกดิน ได้รูปสวย ๆ กลับไปแน่นอน เพราะท้องฟ้าจะเป็นสีเหลืองส้ม ซึ่งในแต่ละช่วงเดือน นาข้าวก็จะสลับกันไป ขึ้นอยู่กับฤดูข้าว เป็นผืนนาเปล่าบ้าง ผืนนาสีเขียว ผืนนาสีเหลือง (ออกรวง) และผืนนาเก็บเกี่ยว ใกล้ ๆ มี The Aileen Cafe คาเฟ่น่ารักริมนา สะพานไม้ทอดยาว เดินเล่นชมวิวได้ มีมุมถ่ายรูปเยอะ สามารถแวะไปนั่งจิบกาแฟ ทานขนมกันได้ บรรยากาศดีสุด ๆ,เลขที่ 39 หมู่ 3 ต.บางโพธิ์เหนือ อ.สามโคก จ.ปทุมธานี 12160,https://scontent.fbkk29-1.fna.fbcdn.net/v/t1.18169-9/26994090_1840026382676432_2435732735081388493_n.jpg?stp=dst-jpg_p180x540&_nc_cat=100&ccb=1-7&_nc_sid=13d280&_nc_ohc=G4ggWMSQhdkQ7kNvgFkBjR7&_nc_ht=scontent.fbkk29-1.fna&oh=00_AYB2JhQH-OSnMRNiSCOOjJyRoKRWAzmAoI1E0XPNuB3Iog&oe=67273BFC,สถานที่ท่องเที่ยว
ตลาดอิงน้ำสามโคก,ขับรถเลยดงตาลสามโคกมาหน่อย จะเจอกับตลาดอิงน้ำสามโคก ชุมชนเก่าริมคลองบางเตยและแม่น้ำเจ้าพระยา สามารถมาเดินเล่นหาของกิน ช็อปปิ้งของฝากได้ที่นี่ ตลาดใกล้กรุงเทพฯ ที่มาไม่ยาก เป็นตลาดเล็ก ๆ ที่มีเสน่ห์ในตัวเอง พาคุณสัมผัสวิถีชีวิตริมน้ำแบบเรียบง่ายของชาวบ้าน มีสินค้ามากมายให้คุณได้เลือกสรร เต็มไปด้วยร้านค้ามากมาย ทั้งของกิน ของใช้ และของเล่น วันหยุดว่าง ๆ ช่วงสุดสัปดาห์ เบื่อบ้าน เบื่อคอนโด ก็ขับรถตรงดิ่งมาที่นี่ได้เลย ใครที่ขับรถมาเอง สามารถจอดรถได้ที่วัดบางเตยนอกนะ,หมู่ 9 ต.บางเตย อ.สามโคก จ.ปทุมธานี 12160,https://mwsc.dit.go.th/backend/attach/tPqvGqnstdcc7MA.jpg,ตลาด
พิพิธภัณฑ์วิทยาศาสตร์แห่งชาติ คลองห้า,"เชื่อว่าหลาย ๆ คนคงจะเคยมากันแล้วล่ะ สำหรับพิพิธภัณฑ์วิทยาศาสตร์แห่งชาติ คลองห้า หรือที่เราเรียกสั้น ๆ กันว่า ตึกลูกเต๋า ประกอบไปด้วยพิพิธภัณฑ์ 4 แห่ง คือ  พิพิธภัณฑ์วิทยาศาสตร์, พิพิธภัณฑ์ธรรมชาติวิทยา, พิพิธภัณฑ์เทคโนโลยีสารสนเทศ และพิพิธภัณฑ์พระรามเก้า ดำเนินงานโดยกระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม เพื่อให้ผู้ที่สนใจ ได้เข้ามาศึกษาหาความรู้ทางด้านวิทยาศาสตร์ การกำเนิดโลก การกำเนิดสิ่งมีชีวิต เทคโนโลยีสารสนเทศ และอื่น ๆ ภายในมีนิทรรศการ แบบจำลอง, หุ่นจำลอง, การแสดงวิทยาศาสตร์, โดมดูดาว,ท้องฟ้าจำลอง, ห้องทดลอง และอีกมากมาย  เด็กยุค 90’s ต้องเคยมากันทุกคนแน่นอน เพราะทางโรงเรียนจะจัดให้มาทัศนศึกษากันเป็นประจำ แต่ถ้าได้มาเที่ยวชมอีกครั้งก็จะดีมากเลย หวนนึกถึงวันเก่า ๆ ที่มากับเพื่อนฝูง หรือหากใครยังไม่เคยมาล่ะก็ ต้องลองมาเที่ยวชมดู จะได้ความสนุกสนาน บวกกับรับความรู้ไปแบบเต็ม ๆ เลยล่ะ",เลขที่ 39 หมู่ 3 ต.คลองห้า อ.คลองหลวง จ.ปทุมธานี 12120,https://www.nsm.or.th/nsm/sites/default/files/inline-images/003.jpg,พิพิธภัณฑ์
พิพิธภัณฑ์พระรามเก้า,"พิพิธภัณฑ์พระรามเก้า ศูนย์กลางการเรียนรู้ด้านความหลากหลายของระบบนิเวศทั่วโลกแห่งแรกของไทย หนึ่งในพิพิธภัณฑ์ของอพวช. โครงการเนื่องในโอกาสมหามงคลฉลองพระชน 80 พรรษา ของรัชกาลที่ 9 ภายในจัดแสดงนิทรรศการและกิจกรรมที่แสดงถึงวิวัฒนาการของโลก สิ่งมีชีวิต ระบบนิเวศ และความหลากหลายทางชีวภาพ ในแต่ละภูมิภาคของโลก แบ่งออกเป็น 3 ส่วน หลัก ได้แก่ ส่วนที่ 1 บ้านของเรา (OUR HOME) นำเสนอเรื่อวราวตั้งแต่กำเนิดจักวาล ระบบสุริยะ โลก ไปจนถึงวิวัฒนาการของสิ่งมีชีวิต, ส่วนที่ 2 ชีวิตของเรา (OUR LIFE) บอกเล่าเรื่องราวระบบนิเวศของสิ่งมีชีวิตที่แตกต่างกันออกไปในแต่ละมุมโลก, ส่วนที่ 3 ในหลวงของเรา (OUR KING) จัดแสดงผลงานและพระราชดำริที่แสดงให้เห็นว่าพระบาทสมเด็จพระเจ้าอยู่หัว รัชกาลที่ 9 ทรงเป็นแบบอย่างที่ดีของนักวิทยาศาสตร์ เหมาะกับการพาเด็ก ๆ มาเที่ยวชมสุด ๆ ถือเป็นการให้ความรู้นอกห้องเรียนที่ดีมาก มั่นใจเลยว่าการจัดแสดงโซนต่าง ๆ ด้านในต้องเป็นที่ชื่นชอบของเด็ก ๆ แน่นอน",เลขที่ 39 หมู่ 3 ต.คลองห้า อ.คลองหลวง จ.ปทุมธานี 12120,https://mpics.mgronline.com/pics/Images/562000012448001.JPEG,พิพิธภัณฑ์
ตลาดสี่มุมเมือง,"ตลาดสี่มุมเมือง เป็นตลาดขายส่งผักผลไม้ขนาดใหญ่ รวมถึงสินค้าอื่นๆ ตั้งอยู่บนถนนพหลโยธิน ที่นี่ได้รวบรวมสินค้าหลากหลายอย่าง เหมาะสำหรับพ่อค้าแม่ค้าที่ต้องหาสินค้าไปจำหน่าย โดยปราศจากพ่อค้าคนกลาง แบ่งออกเป็นตลาดย่อยหลายตลาด อาทิ ตลาดผักทั่วไป, ตลาดผักพื้นบ้าน, ตลาดผักปรุงรส, ตลาดพืชไร่, ตลาดสด, ตลาดผักต่างประเทศ, ตลาดหอม กระเทียม พริกแห้ง, ตลาดทุเรียน ส้มโอ กล้วย ขนุน มะละกอ, ตลาดแตงโม, ตลาดมะม่วง, ตลาดผลไม้รวม, ตลาดดอกไม้, ตลาดสังฆภัณฑ์, ตลาดสินค้าแปรรูป, ตลาดขนม อาหารแห้ง, ตลาดปลาร้า ของดอง เป็นต้น นอกจากพ่อค้าแม่ค้าแล้ว ลูกค้าทั่วไปที่ต้องการซื้อปลีกก็สามารถเข้ามาซื้อได้เช่นกัน มีร้านขายปลีกบริการ จะได้สินค้าดี ราคาถูก ถูกใจใครหลายคนแน่นอน",เลขที่ 355/115-116 ถนนพหลโยธิน ต.คูคต อ.ลำลูกกา จ.ปทุมธานี 12130,https://www.brandbuffet.in.th/wp-content/uploads/2020/03/4-mummuang-market.jpg,ตลาด
ทุ่งนามอญบ้านบ่อทอง,"ทุ่งนามอญบ้านบ่อทอง แหล่งท่องเที่ยวเชิงเกษตรวิถีชุมชนชาวมอญและศูนย์การเรียนรู้เศรษฐกิจพอเพียง บนเนื้อที่กว่า 13 ไร่ ด้วยความตั้งใจของป้าต๋อย (ธัณย์จิรา อาจอุดมรัตน์) ที่เปลี่ยนจากที่ดินส่วนตัวให้กลายเป็นสถานที่ท่องเที่ยว โดยที่มีบ้านของตัวเองตั้งอยู่ในพื้นที่เลย น่ารักมาก ด้านในอัดแน่นไปด้วยกิจกรรมที่น่าสนใจมากมาย เช่น ชมโรงเรือนปลูกเมลอน, แปลงผักสวนครัว, ถีบเรือเป็ด, พายเรือชมสวนมะม่วงและสวนมะพร้าว, การเลี้ยงไส้เดือนดิน, ชมและเรียนรู้วิธีการเลี้ยงไก่สวรรค์, เดินชมทุ่งนา, ถ่ายรูปเล่นบนสะพานไม้ชิลล์ ๆ เป็นต้น หรือใครอยากเข้าถึงวิถีชีวิตชาวมอญแบบขั้นสุด ที่นี่เขามีบริการเช่าชุดใส่ถ่ายรูปตามจุดต่าง ๆ ภายในบริเวณด้วยนะคะ ราคาเพียง 50 บาท/ชุด เท่านั้น ร้านค้า ร้านอาหารก็มีพร้อมบริการอย่างครบคัน นอกจากนี้ยังมีผลิตภัณฑ์อาหารแปรรูปและของที่ระลึกแบบฉบับชาวมอญวางจำหน่ายด้วยนะคะ เป็นสถานที่ที่น่ารักและเรียบง่ายมาก เชื่อไหมละคะ ว่าถ้ามาแล้วต้องใช้เวลาจมอยู่ที่นี่ทั้งวันแน่นอน",บ้านบ่อทอง ต.คูขวาง อ.ลาดหลุมแก้ว จ.ปทุมธานี 12140,https://img.wongnai.com/p/1920x0/2019/06/27/19c719503802462c833140a332db18d7.jpg,สถานที่ท่องเที่ยวเชิงการเรียนรู้
วัดศาลเจ้า,ขอพรเซียนแปะโรงสี ที่วัดศาลเจ้า วัดเก่าแก่ในจังหวัดปทุมธานี ตั้งอยู่ใกล้กับแม่น้ำเจ้าพระยาและคลองเชียงราก ว่ากันว่าสร้างขึ้นในสมัยกรุงศรีอยุธยาตอนปลาย โดยเจ้านายน้อยมหาพรหม บุตรเจ้าเมืองฝ่ายเหนือ มีชื่อเสียงในเรื่องของเซียนแปะโรงสี ฆราวาสชาวจีน เชี่ยวชาญด้านพิธีกรรมตามความเชื่อจีน ผู้คนมักมาขอพรเรื่องการเงิน ค้าขายเจริญรุ่งเรือง และปลดหนี้ ท่านยังมียันต์ประจำตัว เรียกว่า ยันต์ฟ้าประทานพร ซึ่งได้รับความนิยมมากในหมู่นักธุรกิจ ภายในวัดมีโบสถ์ สร้างตามแบบเจดีย์รามัญ ประดิษฐานพระประธาน และวิหารจีน ประดิษฐานเจ้าพ่อปุงเถ่ากง และเจ้าพ่อวัดศาลเจ้า ประชาชนนิยมไปกราบไหว้เช่นกัน ใกล้ๆ มีตลาดน้ำวัดศาลเจ้า ของกินเยอะมาก รวมของดีปทุมไว้ที่นี่ ทำบุญไหว้เจ้าเสร็จ แวะไปเดินเล่นหาของกินกันได้ ตลาดริมน้ำวัดศาลเจ้าเปิดทุกวันไม่มีวันหยุดนะคะ,เลขที่ 2/1 หมู่ 3 ต.บ้านกลาง อ.เมือง จ.ปทุมธานี 12000,https://img.salehere.co.th/p/1200x0/2022/10/21/th8vjcrwtlnz.jpg,วัด
