Source_Place,Similar_Place,Similarity_URL_Place,Similarity_Score
สวนสนุกดรีมเวิลด์,SUP Station Thailand,https://themomentum.co/wp-content/uploads/2018/10/TheMo_Web-Sup-960x720.png,0.8185756206512451
สวนสนุกดรีมเวิลด์,ตลาดอิงน้ำสามโคก,https://mwsc.dit.go.th/backend/attach/tPqvGqnstdcc7MA.jpg,0.6903966665267944
สวนสนุกดรีมเวิลด์,Pumpkin Art Town,https://media.readthecloud.co/wp-content/uploads/2021/03/29174235/pumpkin-art-town-pathum-thani-44.jpg,0.6571704149246216
สวนสนุกดรีมเวิลด์,ตลาดน้ำนครรังสิต,https://inwfile.com/s-gb/dq2hee.jpg,0.6199348568916321
สวนสนุกดรีมเวิลด์,ปิ่นโตนามีตาล,https://s.isanook.com/tr/0/ud/287/1436253/328252799_1672040349886589_13.jpg?ip/resize/w728/q80/jpg,0.5853365063667297
สวนสนุกดรีมเวิลด์,วัดสิงห์,https://scontent.fbkk12-5.fna.fbcdn.net/v/t1.18169-9/27867753_1636287123115880_6336485655682626358_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=2a1932&_nc_ohc=TAdFGcemCusQ7kNvgEv-6WU&_nc_ht=scontent.fbkk12-5.fna&oh=00_AYB6cDQRiVD8eqcXwar0UPNuf1NPUKam945fI-av5hYQMg&oe=6729B78A,0.5800076723098755
สวนสนุกดรีมเวิลด์,วัดศรีสโมสร,https://www.zolitic.com/media/65794978496a6f314c434979496a6f7a4d6a45324e5377694d7949364d5377694e5349364d5449344d4377694e6949364e7a497766513d3d.jpg,0.5670484900474548
สวนสนุกดรีมเวิลด์,IngNatee Resort,https://cf.bstatic.com/xdata/images/hotel/max1024x768/74167642.jpg?k=ec5f7b0ba36b70b5b39137d7314713664a9fc4d1f45f6374d13d95b27b5bef80&o=&hp=1,0.56059330701828
สวนสนุกดรีมเวิลด์,บ้านครูธานีหอมชื่น,https://s3.ap-southeast-1.amazonaws.com/media.motherhood.co.uk/wp-content/uploads/2019/10/22110654/thani1.jpg,0.5317081809043884
สวนสนุกดรีมเวิลด์,ตลาดระแหง 100 ปี,https://www.thailandplus.tv/wp-content/uploads/2019/08/S__12083409.jpg,0.5223274827003479
ณ ปทุม คาเฟ่,Florista Cafe And Eatery,https://img.wongnai.com/p/1920x0/2018/10/08/375fb8586bc844fdb2f20e7e29cedeb6.jpg,0.9543958902359009
ณ ปทุม คาเฟ่,ต้นข้าวหอม Cafe & Farm,https://scontent.fbkk12-5.fna.fbcdn.net/v/t1.6435-9/118003747_964035850781927_96907773507414490_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=127cfc&_nc_ohc=elPcfq-hDAoQ7kNvgERcsd1&_nc_ht=scontent.fbkk12-5.fna&_nc_gid=A-cLtrfZqOPYSfmqcaDpHeH&oh=00_AYAfMDaLg9LXZIKPswfXbTefpWXzBNn2TY8Y-YYORgqCEw&oe=6729903C,0.9388584494590759
ณ ปทุม คาเฟ่,COK Cream of The Koff,https://ak-d.tripcdn.com/images/1i64h2224p19c78io77C4_W_640_0_R5_Q80.jpg?proc=source/trip,0.9208686947822571
ณ ปทุม คาเฟ่,"บ้าน 1,000 ไม้ Cafe & Farm",https://www.gourmetandcuisine.com/Images/editor_upload/_editor20201014112917_original.jpg,0.9085301160812378
ณ ปทุม คาเฟ่,The local Restaurant,https://www.chillpainai.com/src/wewakeup/scoop/img_scoop/scoop/TheLocal/DSC_0196.jpg,0.9056151509284973
ณ ปทุม คาเฟ่,Mushroom Hut Cafe,https://www.ryoiireview.com/upload/article/202101/1610602538_e89666feb714ab9c3946f28f00c5d8c4.jpg,0.9025176167488098
ณ ปทุม คาเฟ่, Quayside Cafe and Eatery,https://www.gourmetandcuisine.com/Images/editor_upload/_editor20200930081154_original.jpg,0.8978011012077332
ณ ปทุม คาเฟ่,IngNatee Resort,https://cf.bstatic.com/xdata/images/hotel/max1024x768/74167642.jpg?k=ec5f7b0ba36b70b5b39137d7314713664a9fc4d1f45f6374d13d95b27b5bef80&o=&hp=1,0.8858522176742554
ณ ปทุม คาเฟ่,Better Cup Canteen & Cafe,https://k7w3n7p2.rocketcdn.me/wp-content/uploads/2022/09/Better-Cup-Canteen-and-Cafe-3.jpg,0.8827895522117615
ณ ปทุม คาเฟ่, ร้านอาหารแม่น้ำ,http://www.rangsitcity.com/images/column_1472750521/man%20(38).JPG,0.8817004561424255
วัดโบสถ์,เซียนแปะโรงสี,https://th.bing.com/th/id/OIP.ODuKVLlS7frug_WkVdszrAHaE8?pid=ImgDet&rs=1,0.9913446307182312
